@RELATION all_data_pacman

@ATTRIBUTE legal_actions_west {0, 1}
@ATTRIBUTE legal_actions_stop {0, 1}
@ATTRIBUTE legal_actions_east {0, 1}
@ATTRIBUTE legal_actions_north {0, 1}
@ATTRIBUTE legal_actions_south {0, 1}
@ATTRIBUTE ghost_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE pacman_direction {West,Stop,East,North,South}
@ATTRIBUTE ghost_distanceNext NUMERIC
@ATTRIBUTE scoreNext NUMERIC

@DATA
1,1,0,1,1,3,162,North,3,161
1,1,0,0,1,3,161,North,3,160
1,1,0,0,1,3,160,North,3,159
1,1,0,0,1,3,159,North,2,158
1,1,0,0,1,2,158,North,2,157
1,1,0,0,1,2,157,North,2,156
1,1,0,0,1,2,156,North,2,155
1,1,0,0,1,2,155,North,2,154
1,1,0,0,1,2,154,North,3,153
1,1,0,0,1,3,153,North,4,152
1,1,0,0,1,4,152,North,3,151
1,1,0,0,1,3,151,North,4,150
1,1,0,0,1,4,150,North,5,149
1,1,0,0,1,5,149,North,5,148
1,1,0,0,1,5,148,North,6,147
1,1,0,0,1,6,147,North,5,146
1,1,0,0,1,5,146,North,5,145
1,1,0,0,1,5,145,North,5,144
1,1,0,0,1,5,144,North,6,143
1,1,0,0,1,6,143,North,5,142
1,1,0,0,1,5,142,North,6,141
1,1,0,0,1,6,141,North,7,140
1,1,0,0,1,7,140,North,6,139
1,1,0,0,1,6,139,North,7,138
1,1,0,0,1,7,138,North,6,137
1,1,0,0,1,6,137,North,7,136
1,1,0,0,1,7,136,North,7,135
1,1,0,0,1,7,135,North,8,134
1,1,0,0,1,8,134,North,9,133
1,1,0,0,1,9,133,North,8,132
1,1,0,0,1,8,132,North,9,131
1,1,0,0,1,9,131,North,8,130
1,1,0,0,1,8,130,North,7,129
1,1,0,0,1,7,129,North,6,128
1,1,0,0,1,6,128,North,5,-1
0,1,1,1,1,5,-1,North,3,-2
0,1,1,1,1,3,-2,North,1,-3
0,1,1,1,1,1,-3,North,1,96
0,1,1,1,1,1,96,North,1,95
1,1,1,1,1,1,95,East,4,294
1,1,1,1,1,4,294,South,2,293
1,1,1,1,1,2,293,North,3,492
0,1,1,1,1,3,492,West,1,491
0,1,1,1,1,1,491,North,1,790
0,1,1,1,1,1,790,North,1,789
0,1,1,0,1,1,789,North,9999,988
0,1,0,0,0,9999,988,East,13,-1
0,1,1,0,1,13,-1,Stop,13,-2
0,1,1,0,1,13,-2,Stop,12,-3
0,1,1,0,1,12,-3,Stop,13,-4
0,1,1,0,1,13,-4,Stop,12,-5
0,1,1,0,1,12,-5,Stop,11,-6
0,1,1,0,1,11,-6,Stop,11,-7
0,1,1,0,1,11,-7,Stop,10,-8
0,1,1,0,1,10,-8,Stop,11,-9
0,1,1,0,1,11,-9,Stop,9,-10
0,1,0,1,1,9,-10,South,9,-11
0,1,1,1,1,9,-11,South,8,-12
0,1,1,1,1,8,-12,South,6,-13
0,1,1,1,1,6,-13,South,6,-14
0,1,0,1,1,6,-14,South,6,-15
0,1,1,1,1,6,-15,South,4,-16
0,1,0,1,1,4,-16,South,3,-17
0,1,0,1,1,3,-17,South,5,-18
0,1,0,1,1,5,-18,South,4,-19
0,1,0,1,1,4,-19,South,3,-20
0,1,0,1,1,3,-20,South,3,-21
0,1,1,1,1,3,-21,South,3,-22
0,1,1,1,1,3,-22,South,3,-23
0,1,1,1,1,3,-23,South,3,-24
0,1,1,1,0,3,-24,South,2,-25
0,1,1,1,0,2,-25,South,5,174
1,1,1,1,0,5,174,East,3,173
1,1,1,1,0,3,173,East,3,172
1,1,1,1,0,3,172,East,3,171
1,1,1,1,0,3,171,East,3,170
1,1,0,1,1,3,170,North,1,169
1,1,0,1,1,1,169,North,2,168
1,1,1,1,1,2,168,North,2,167
1,1,1,1,1,2,167,West,4,366
1,1,1,1,1,4,366,West,4,365
1,1,1,0,1,4,365,West,6,364
0,1,1,1,1,6,364,West,6,363
0,1,1,1,1,6,363,South,5,362
1,1,1,1,1,5,362,East,5,361
1,1,1,1,1,5,361,East,3,360
1,1,1,1,1,3,360,East,1,359
1,1,0,1,1,1,359,East,1,358
1,1,0,1,1,1,358,South,5,557
1,1,1,1,0,5,557,South,4,556
1,1,1,1,0,4,556,South,2,555
1,1,1,0,0,2,555,East,1,554
1,1,1,0,0,1,554,East,1,553
1,1,1,1,0,1,553,East,12,-1
0,1,0,1,1,12,-1,South,10,-2
0,1,1,1,1,10,-2,South,10,-3
0,1,1,1,1,10,-3,South,8,-4
0,1,1,1,1,8,-4,South,8,-5
0,1,0,1,1,8,-5,South,7,-6
0,1,1,1,1,7,-6,South,5,-7
0,1,0,1,1,5,-7,South,3,-8
0,1,0,1,1,3,-8,South,3,-9
0,1,0,1,1,3,-9,South,4,-10
0,1,0,1,1,4,-10,South,4,-11
0,1,0,1,1,4,-11,South,2,-12
0,1,0,1,1,2,-12,South,5,187
0,1,0,1,1,5,187,South,3,186
0,1,1,1,1,3,186,South,3,185
0,1,1,1,1,3,185,South,3,184
0,1,1,1,1,3,184,South,3,183
0,1,1,1,1,3,183,North,3,182
1,1,1,1,1,3,182,East,3,181
1,1,1,1,1,3,181,South,3,180
1,1,1,1,0,3,180,South,1,179
1,1,1,1,0,1,179,East,1,178
1,1,1,1,1,1,178,North,1,177
1,1,1,1,1,1,177,North,1,176
1,1,1,1,1,1,176,East,6,375
1,1,0,1,1,6,375,East,4,374
1,1,1,1,1,4,374,North,3,373
1,1,1,1,1,3,373,North,2,372
1,1,1,1,1,2,372,North,7,571
1,1,1,1,1,7,571,North,6,570
1,1,1,1,1,6,570,South,5,569
1,1,1,1,1,5,569,South,3,568
1,1,1,1,1,3,568,South,1,567
1,1,1,1,0,1,567,East,9999,766
0,1,0,0,0,9999,766,East,12,-1
0,1,0,1,1,12,-1,South,11,-2
0,1,1,1,1,11,-2,South,9,-3
0,1,1,1,1,9,-3,South,8,-4
0,1,1,1,1,8,-4,South,8,-5
0,1,0,1,1,8,-5,South,6,-6
0,1,1,1,1,6,-6,South,6,-7
0,1,0,1,1,6,-7,South,4,-8
0,1,0,1,1,4,-8,South,4,-9
0,1,0,1,1,4,-9,South,4,-10
0,1,0,1,1,4,-10,South,3,-11
0,1,0,1,1,3,-11,South,3,-12
0,1,1,1,1,3,-12,South,2,-13
0,1,1,1,1,2,-13,South,3,186
0,1,1,1,1,3,186,South,3,185
0,1,1,1,1,3,185,North,1,184
0,1,1,1,1,1,184,South,4,383
0,1,1,1,1,4,383,North,4,382
0,1,1,1,1,4,382,North,4,381
0,1,0,1,1,4,381,North,5,380
0,1,0,1,1,5,380,North,5,379
0,1,0,1,1,5,379,North,4,378
0,1,0,1,1,4,378,North,4,377
0,1,0,1,1,4,377,North,3,376
0,1,0,1,1,3,376,North,3,375
0,1,0,1,1,3,375,South,4,374
0,1,0,1,1,4,374,South,4,373
0,1,0,1,1,4,373,North,3,372
0,1,0,1,1,3,372,North,3,371
0,1,0,1,1,3,371,North,3,370
0,1,0,1,1,3,370,North,4,369
0,1,0,1,1,4,369,North,4,368
0,1,0,1,1,4,368,North,3,367
0,1,0,1,1,3,367,North,4,366
0,1,0,1,1,4,366,North,3,365
0,1,0,1,1,3,365,North,3,364
0,1,0,1,1,3,364,North,2,363
0,1,0,1,1,2,363,North,2,362
0,1,0,1,1,2,362,North,3,361
0,1,0,1,1,3,361,North,4,360
0,1,0,1,1,4,360,North,4,359
0,1,0,1,1,4,359,North,4,358
0,1,0,1,1,4,358,North,4,357
0,1,0,1,1,4,357,South,4,356
