10,4,1
10,4,1
5,4,1
3,4,1
10,4,1
10,4,1
3,4,1
3,4,2
3,4,3
3,4,4
3,4,5
3,4,6
3,4,7
3,4,8
3,4,9
3,4,10
3,4,11
3,4,12
3,4,13
3,4,14
3,4,15
4,4,16
5,4,17
6,4,18
5,4,19
4,4,20
3,4,21
2,4,22
1,4,23
6,3,24
5,3,25
4,3,26
3,3,27
4,3,28
5,3,29
6,3,30
7,3,31
6,3,32
5,3,33
4,3,34
3,3,35
3,3,36
3,3,37
3,3,38
3,3,39
3,3,40
3,3,41
3,3,42
3,1,1
3,1,2
3,1,3
3,1,4
3,1,5
3,1,6
3,1,7
3,1,8
3,1,9
3,1,10
3,1,11
4,1,12
5,1,13
6,1,14
7,1,15
8,1,16
9,1,17
8,1,18
7,1,19
6,1,20
5,1,21
4,1,22
3,1,23
3,1,24
3,1,25
3,1,26
3,1,27
3,1,28
3,1,29
3,1,30
3,1,31
3,1,32
3,1,33
3,1,34
3,1,35
3,1,36
3,1,37
3,1,38
3,1,39
3,1,40
3,1,41
3,1,42
3,1,43
3,1,44
3,1,45
3,1,46
3,1,47
3,1,48
3,1,49
3,1,50
3,1,51
3,1,52
3,1,53
3,1,54
3,1,55
3,1,56
3,1,57
3,1,58
3,1,59
3,1,60
3,1,61
3,1,62
3,1,63
3,1,64
3,1,65
3,1,66
3,1,67
10,1,1
10,1,2
10,1,3
10,1,4
10,1,5
10,1,6
10,1,7
10,1,8
9,1,9
8,1,10
7,1,11
6,1,12
5,1,13
4,1,14
3,1,15
2,1,16
1,1,17
1,1,18
9999,0,19
9,1,1
8,1,2
7,1,3
6,1,4
5,1,5
4,1,6
3,1,7
2,1,8
1,1,9
9999,0,10
10,4,1
10,1,1
10,1,2
10,1,3
10,1,4
10,1,5
10,1,6
10,1,7
10,1,8
10,1,9
10,1,10
10,1,11
9,1,12
8,1,13
7,1,14
6,1,15
5,1,16
4,1,17
3,1,18
2,1,19
1,1,20
9999,0,21
